Time,male,female
2020-Q1,1892.10,1914.40
2020-Q2,2580.30,2477.20
2020-Q3,1539.70,1530.30
2020-Q4,1685.80,1672.50
2021-Q1,1924.80,1900.50
2021-Q2,1617.10,1618.30
2021-Q3,2001.50,1985.10
2021-Q4,1874.40,1829.30
,,
,,
,,
,,
,,
,,
,,
,,
,,
